angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[207, 142, 190, 226]",0.0,0.01,0.0,0.87,0.1,0.0
0.07,"[207, 145, 189, 221]",0.0,0.03,0.01,0.69,0.19,0.0
0.07,"[213, 146, 181, 215]",0.0,0.04,0.01,0.7,0.17,0.0
0.05,"[215, 147, 180, 214]",0.0,0.03,0.01,0.72,0.18,0.0
0.07,"[208, 143, 188, 224]",0.0,0.04,0.02,0.65,0.22,0.0
0.06,"[210, 146, 182, 215]",0.0,0.04,0.01,0.6,0.28,0.0
0.09,"[213, 146, 182, 217]",0.0,0.05,0.01,0.65,0.2,0.01
0.16,"[188, 153, 185, 226]",0.0,0.07,0.03,0.37,0.37,0.0
0.07,"[190, 157, 186, 219]",0.0,0.04,0.01,0.59,0.27,0.0
0.23,"[157, 160, 173, 204]",0.0,0.05,0.05,0.4,0.27,0.0
0.1,"[180, 169, 164, 188]",0.0,0.02,0.02,0.74,0.11,0.0
0.14,"[149, 187, 169, 194]",0.0,0.17,0.14,0.12,0.42,0.0
0.03,"[211, 174, 175, 210]",0.0,0.01,0.01,0.9,0.04,0.0
0.17,"[155, 225, 197, 228]",0.0,0.33,0.02,0.33,0.1,0.04
0.12,"[190, 165, 189, 228]",0.0,0.1,0.02,0.48,0.27,0.01
0.04,"[214, 169, 168, 203]",0.0,0.02,0.0,0.86,0.06,0.01
0.04,"[216, 169, 164, 200]",0.0,0.03,0.0,0.83,0.1,0.0
0.08,"[194, 162, 184, 219]",0.0,0.02,0.02,0.63,0.25,0.0
0.01,"[194, 163, 181, 213]",0.0,0.01,0.07,0.84,0.07,0.0
0.07,"[187, 160, 191, 229]",0.0,0.05,0.03,0.7,0.15,0.0
0.05,"[193, 166, 183, 217]",0.0,0.03,0.02,0.79,0.11,0.0
0.03,"[193, 164, 183, 217]",0.0,0.02,0.01,0.78,0.16,0.0
0.02,"[196, 166, 180, 210]",0.0,0.04,0.03,0.76,0.15,0.01
0.02,"[194, 165, 180, 210]",0.0,0.03,0.05,0.81,0.09,0.0
0.02,"[196, 165, 179, 210]",0.0,0.02,0.06,0.81,0.09,0.0
0.02,"[196, 166, 180, 210]",0.0,0.03,0.05,0.77,0.13,0.01
0.06,"[187, 158, 190, 233]",0.0,0.02,0.02,0.81,0.09,0.0
0.02,"[197, 166, 179, 208]",0.0,0.02,0.03,0.78,0.14,0.0
0.02,"[197, 165, 180, 212]",0.0,0.03,0.01,0.84,0.1,0.0
